,start,end,duration_days,site_id,IGBP
0,2009-12-21 00:00:00,2011-03-26 23:30:00,461,AR-SLu,MF
1,2010-02-13 00:00:00,2010-06-13 23:30:00,121,AR-Vir,ENF
2,2010-06-30 00:00:00,2010-07-26 23:30:00,27,AR-Vir,ENF
3,2010-09-24 00:00:00,2011-02-20 23:30:00,150,AR-Vir,ENF
4,2011-05-01 00:00:00,2012-06-13 23:30:00,410,AR-Vir,ENF
5,2002-01-01 00:00:00,2002-02-03 23:30:00,34,AT-Neu,GRA
6,2002-02-15 00:00:00,2003-01-14 23:30:00,334,AT-Neu,GRA
7,2003-01-25 00:00:00,2003-03-12 23:30:00,47,AT-Neu,GRA
8,2003-03-27 00:00:00,2004-01-20 23:30:00,300,AT-Neu,GRA
9,2004-02-15 00:00:00,2004-05-05 23:30:00,81,AT-Neu,GRA
10,2004-05-18 00:00:00,2006-03-11 23:30:00,663,AT-Neu,GRA
11,2006-03-28 00:00:00,2006-12-24 23:30:00,272,AT-Neu,GRA
12,2007-01-05 00:00:00,2012-12-31 23:30:00,2188,AT-Neu,GRA
13,2010-09-03 00:00:00,2011-09-20 23:30:00,383,AU-ASM,SAV
14,2011-10-09 00:00:00,2012-10-07 23:30:00,365,AU-ASM,SAV
15,2012-10-19 00:00:00,2014-12-31 23:30:00,804,AU-ASM,SAV
16,2007-10-17 00:00:00,2007-10-18 23:30:00,2,AU-Ade,WSA
17,2007-11-02 00:00:00,2008-02-18 23:30:00,109,AU-Ade,WSA
18,2008-03-05 00:00:00,2009-05-22 23:30:00,444,AU-Ade,WSA
19,2010-08-01 00:00:00,2013-10-02 23:30:00,1159,AU-Cpr,SAV
20,2013-10-16 00:00:00,2014-01-16 23:30:00,93,AU-Cpr,SAV
21,2014-04-20 00:00:00,2014-12-31 23:30:00,256,AU-Cpr,SAV
22,2012-10-19 00:00:00,2014-06-03 23:30:00,593,AU-Cum,EBF
23,2014-06-22 00:00:00,2014-12-31 23:30:00,193,AU-Cum,EBF
24,2007-09-19 00:00:00,2007-10-17 23:30:00,29,AU-DaP,GRA
25,2007-11-25 00:00:00,2008-04-09 23:30:00,137,AU-DaP,GRA
26,2008-04-23 00:00:00,2009-02-23 23:30:00,307,AU-DaP,GRA
27,2009-03-11 00:00:00,2009-03-12 23:30:00,2,AU-DaP,GRA
28,2009-03-29 00:00:00,2011-09-25 23:30:00,911,AU-DaP,GRA
29,2011-10-22 00:00:00,2011-12-18 23:30:00,58,AU-DaP,GRA
30,2012-03-06 00:00:00,2012-03-18 23:30:00,13,AU-DaP,GRA
31,2012-05-02 00:00:00,2012-05-13 23:30:00,12,AU-DaP,GRA
32,2012-06-06 00:00:00,2013-09-07 23:30:00,459,AU-DaP,GRA
33,2008-01-01 00:00:00,2008-06-09 23:30:00,161,AU-DaS,SAV
34,2008-06-20 00:00:00,2010-12-15 23:30:00,909,AU-DaS,SAV
35,2011-04-03 00:00:00,2014-11-12 23:30:00,1320,AU-DaS,SAV
